elapsed_time,ax,ay,az,vibration
00:00:03.110,2348.0,-324.0,-18372.0,2140.27
00:00:03.141,2288.0,-464.0,-18320.0,2084.15
00:00:03.174,2232.0,-300.0,-18332.0,2085.81
00:00:03.206,2316.0,-372.0,-18276.0,2041.92
00:00:03.238,2320.0,-424.0,-18268.0,2035.61
00:00:03.271,2304.0,-372.0,-18372.0,2135.64
00:00:03.303,2340.0,-328.0,-18432.0,2198.84
00:00:03.335,2248.0,-420.0,-18296.0,2054.37
00:00:03.368,2192.0,-436.0,-18376.0,2127.41
00:00:03.400,2296.0,-404.0,-18208.0,1972.64
00:00:03.432,2284.0,-388.0,-18460.0,2220.81
00:00:03.463,2276.0,-360.0,-18392.0,2151.79
00:00:03.496,2332.0,-300.0,-18244.0,2010.88
00:00:03.528,2188.0,-392.0,-18380.0,2129.92
00:00:03.560,2260.0,-272.0,-18344.0,2100.69
00:00:03.593,2228.0,-404.0,-18220.0,1976.16
00:00:03.625,2296.0,-352.0,-18300.0,2062.83
00:00:03.657,2308.0,-508.0,-18212.0,1980.69
00:00:03.689,2208.0,-392.0,-18436.0,2187.89
00:00:03.722,2260.0,-480.0,-18300.0,2061.27
00:00:03.754,2244.0,-404.0,-18204.0,1962.24
00:00:03.786,2148.0,-436.0,-18420.0,2165.94
00:00:03.819,2216.0,-368.0,-18252.0,2005.71
00:00:03.851,2308.0,-432.0,-18448.0,2212.83
00:00:03.883,2340.0,-308.0,-18312.0,2079.47
00:00:03.915,2136.0,-400.0,-18252.0,1996.91
00:00:03.948,2280.0,-300.0,-18324.0,2083.74
00:00:03.979,2152.0,-384.0,-18404.0,2149.37
00:00:04.011,2292.0,-364.0,-18324.0,2086.37
00:00:04.044,2208.0,-352.0,-18256.0,2008.41
00:00:04.076,2256.0,-404.0,-18392.0,2150.25
00:00:04.108,2280.0,-372.0,-18168.0,1930.28
00:00:04.140,2312.0,-420.0,-18272.0,2038.48
00:00:04.173,2260.0,-336.0,-18412.0,2169.23
00:00:04.205,2288.0,-344.0,-18220.0,1982.32
00:00:04.237,2160.0,-308.0,-18396.0,2140.94
00:00:04.270,2244.0,-392.0,-18288.0,2045.33
00:00:04.302,2260.0,-388.0,-18392.0,2150.40
00:00:04.334,2228.0,-412.0,-18380.0,2135.13
00:00:04.366,2352.0,-340.0,-18364.0,2133.13
00:00:04.399,2336.0,-372.0,-18396.0,2163.46
00:00:04.431,2096.0,-368.0,-18196.0,1936.02
00:00:04.463,2264.0,-324.0,-18380.0,2137.75
00:00:04.496,2340.0,-440.0,-18380.0,2149.58
00:00:04.528,2320.0,-380.0,-18348.0,2114.00
00:00:04.560,2396.0,-364.0,-18364.0,2139.22
00:00:04.592,2156.0,-380.0,-18384.0,2129.89
00:00:04.625,2280.0,-416.0,-18308.0,2070.11
00:00:04.657,2308.0,-392.0,-18244.0,2009.59
00:00:04.688,2328.0,-436.0,-18248.0,2017.06
00:00:04.721,2264.0,-376.0,-18396.0,2154.61
00:00:04.752,2304.0,-404.0,-18432.0,2195.83
00:00:04.783,2288.0,-436.0,-18276.0,2039.82
00:00:04.815,2288.0,-356.0,-18340.0,2101.60
00:00:04.848,2340.0,-428.0,-18312.0,2081.86
00:00:04.880,2260.0,-324.0,-18328.0,2085.66
00:00:04.912,2256.0,-412.0,-18232.0,1991.67
00:00:04.945,2256.0,-432.0,-18232.0,1992.13
00:00:04.977,2252.0,-292.0,-18260.0,2016.66
00:00:05.009,2340.0,-356.0,-18232.0,2001.00
00:00:05.041,2232.0,-368.0,-18408.0,2162.47
00:00:05.074,2268.0,-348.0,-18284.0,2043.41
00:00:05.106,2272.0,-324.0,-18284.0,2043.47
00:00:05.138,2240.0,-392.0,-18312.0,2068.66
00:00:05.171,2260.0,-452.0,-18476.0,2235.20
00:00:05.202,2352.0,-412.0,-18396.0,2166.32
00:00:05.234,2300.0,-388.0,-18440.0,2202.93
00:00:05.266,2244.0,-372.0,-18428.0,2183.85
00:00:05.299,2244.0,-404.0,-18452.0,2208.34
00:00:05.331,2232.0,-380.0,-18328.0,2083.32
00:00:05.363,2284.0,-452.0,-18288.0,2051.62
00:00:05.395,2212.0,-380.0,-18272.0,2025.33
00:00:05.428,2284.0,-488.0,-18076.0,1842.26
00:00:05.460,2176.0,-276.0,-18308.0,2054.93
00:00:05.492,2212.0,-404.0,-18348.0,2101.27
00:00:05.525,2164.0,-380.0,-18444.0,2190.40
00:00:05.558,2240.0,-416.0,-18280.0,2037.43
00:00:05.590,2288.0,-448.0,-18392.0,2155.18
00:00:05.622,2288.0,-360.0,-18436.0,2196.92
00:00:05.654,2360.0,-324.0,-18288.0,2058.49
00:00:05.686,2280.0,-420.0,-18276.0,2038.46
00:00:05.718,2228.0,-468.0,-18264.0,2021.34
00:00:05.751,2304.0,-344.0,-18320.0,2083.52
00:00:05.783,2408.0,-448.0,-18292.0,2071.25
00:00:05.814,2236.0,-448.0,-18264.0,2021.82
00:00:05.847,2304.0,-284.0,-18516.0,2276.96
00:00:05.879,2312.0,-380.0,-18240.0,2005.87
00:00:05.911,2276.0,-360.0,-18432.0,2191.48
00:00:05.944,2256.0,-404.0,-18416.0,2174.07
00:00:05.975,2224.0,-420.0,-18352.0,2107.04
00:00:06.006,2324.0,-444.0,-18312.0,2080.22
00:00:06.038,2276.0,-436.0,-18368.0,2129.61
00:00:06.069,2108.0,-384.0,-18304.0,2044.99
00:00:06.102,2280.0,-404.0,-18184.0,1946.83
00:00:06.134,2216.0,-388.0,-18276.0,2029.95
00:00:06.165,2276.0,-412.0,-18196.0,1958.42
00:00:06.198,2288.0,-436.0,-18356.0,2119.18
00:00:06.230,2268.0,-456.0,-18272.0,2033.86
00:00:06.262,2180.0,-564.0,-18420.0,2173.13
00:00:06.293,2248.0,-504.0,-18236.0,1996.95
00:00:06.326,2396.0,-456.0,-18328.0,2105.57
00:00:06.358,2300.0,-400.0,-18292.0,2056.37
00:00:06.389,2224.0,-416.0,-18168.0,1924.34
00:00:06.422,2252.0,-392.0,-18364.0,2121.72
00:00:06.454,2228.0,-352.0,-18492.0,2245.06
00:00:06.486,2236.0,-428.0,-18364.0,2120.58
00:00:06.518,2332.0,-340.0,-18296.0,2063.15
00:00:06.551,2200.0,-324.0,-18432.0,2181.66
00:00:06.583,2272.0,-508.0,-18456.0,2218.26
00:00:06.615,2252.0,-512.0,-18268.0,2029.40
00:00:06.648,2252.0,-316.0,-18428.0,2183.78
00:00:06.680,2220.0,-376.0,-18408.0,2161.19
00:00:06.712,2220.0,-424.0,-18320.0,2074.89
00:00:06.743,2284.0,-336.0,-18396.0,2156.29
00:00:06.776,2204.0,-388.0,-18232.0,1984.83
00:00:06.808,2304.0,-292.0,-18412.0,2173.89
00:00:06.840,2308.0,-428.0,-18516.0,2280.20
00:00:06.871,2328.0,-444.0,-18216.0,1985.52
00:00:06.904,2252.0,-444.0,-18376.0,2134.80
00:00:06.936,2196.0,-372.0,-18292.0,2043.10
00:00:06.968,2376.0,-384.0,-18472.0,2244.14
00:00:07.001,2232.0,-360.0,-18264.0,2019.40
00:00:07.033,2268.0,-320.0,-18440.0,2197.71
00:00:07.065,2264.0,-376.0,-18312.0,2071.25
00:00:07.098,2276.0,-432.0,-18424.0,2185.08
00:00:07.130,2228.0,-388.0,-18292.0,2047.27
00:00:07.162,2208.0,-344.0,-18420.0,2171.05
00:00:07.193,2308.0,-464.0,-18324.0,2090.61
00:00:07.226,2224.0,-332.0,-18428.0,2180.69
00:00:07.258,2244.0,-444.0,-18240.0,1998.88
00:00:07.290,2328.0,-376.0,-18352.0,2118.89
00:00:07.322,2260.0,-352.0,-18360.0,2117.92
00:00:07.355,2228.0,-308.0,-18284.0,2037.82
00:00:07.386,2284.0,-380.0,-18376.0,2137.30
