Time,Spectral_Centroid,Low_Frequency_Energy
1,21.0299483741881,1010.5421078896
2,26.4448301520522,708.777694591122
3,14.7383012710255,1778.08989905542
4,13.7875029862054,11715946.1062243
5,9.52119532985992,12355836.2778441
6,8.71876326849563,10824645.4459677
7,5.28934246299548,9672243.04746837
8,7.06111504662606,19418883.5473928
9,7.28653362252925,600858.098621336
10,0.91820465156186,4025866.91464643
11,7.98070765491806,14677503.9490374
12,19.476145147864,2830541.50182611
13,19.3333044615213,4285533.30021834
14,7.95641315589385,5168215.64193849
15,2.78244059786461,2072763.84703303
16,6.26705105053079,850582.571612118
17,9.89770609406874,74089.5184486634
18,6.20665614144366,20293074.4269795
19,1.35487933627799,2450420.97355732
20,11.438969479546,10040250.0635554
21,22.5777835605933,301806.368219348
22,5.71939429603726,19194557.5087056
23,18.9837396030809,3325132.12284761
24,9.42870211238788,12427912.5863597
25,14.6324106241732,11713171.3296821
26,14.8802986145394,9827373.90982152
27,17.0474351030605,1688.50362869242
28,15.2223427203477,519084.954467555
29,24.3147478315298,1679098.19418779
30,12.4901241581843,2147264.62325827
31,16.2920662925488,7131516.63630074
32,15.9336043909966,3988535.13279512
33,14.0989753764308,5495321.43734062
34,20.1621796196647,3137339.98064158
35,13.7246151035432,4461192.38401144
36,12.2713528430943,4979411.03912229
37,19.2933893686119,844.166508346195
38,25.8631691776554,504.332782010197
39,15.8803435112087,7621733.7457478
40,3.68482669495168,3211639.96549813
41,20.1452081636982,1950688.44029287
42,16.0195332017534,4166372.36181547
43,13.1881779091174,2567842.85751825
44,11.9283925771004,665631.233054773
45,8.46656240458836,4082336.65980429
46,8.56833799153912,1449836.32074187
47,12.5246833786496,7464463.07163759
48,20.0505826283366,8444067.51854057
49,14.3284779893828,3264903.90061985
50,19.8035833561545,2287445.58848843
51,9.29076698391783,2174579.26461457
52,10.229051797574,1926639.56548495
53,17.7671817054511,2472171.24300997
54,14.8548030163424,3177817.7215466
55,8.20870416934876,1988013.83060576
56,24.5978315497871,1019218.43358718
57,10.2115893880896,7160435.4005578
58,8.75033606333611,1212784.33818072
59,9.23670633615057,8423587.50880782
60,14.1277689196392,5805285.71053831
61,13.5151949481269,4293542.40802803
62,9.80233953759377,8230842.92098054
63,16.3444150084778,6609932.47656723
64,2.74058964113702,1033025.42527899
65,11.1199371850702,5185949.29069901
66,22.5674557848439,6291444.38401559
67,17.0961484030175,7620805.11121356
68,26.9982429381148,488.308803178185
69,16.4245755109533,107559.036666873
70,10.7661794064291,1299085.43024318
71,12.4722387952842,1983441.26520873
72,17.5600206200341,5914260.46334372
73,14.5518038941734,5875757.06287031
74,21.8866243360345,4790156.40346849
75,12.2886320971444,1782431.41433896
76,12.2510237483707,3341139.50993496
77,13.3687924739761,7087294.83868691
78,14.4961571780261,5031120.75554387
79,15.5292693215459,6854544.42184384
80,13.3088240601473,465057.640417922
81,20.5530558201945,4737913.57159584
82,13.6659610453763,1934807.03633388
83,22.5967900228193,705.296564884349
84,13.3181811210635,2081096.93389533
85,22.0204874233879,5925745.66856649
86,20.8825107970105,3542967.01996807
87,23.1263763843805,3577170.1378742
88,15.2078342740801,6294868.8861372
89,14.6035355275421,1239744.4825464
90,18.1401373287152,1145.84595554463
91,12.7556883451248,13363107.3570912
92,12.7736903014524,7646775.60871074
93,15.5777464536764,7358276.3754578
94,17.7378273686311,4596363.69359168
95,15.4404919784075,12849680.0942594
96,22.4193286807972,4912414.91619918
97,15.1041851659864,6139220.70388235
98,18.1947090865321,9246961.61791597
99,11.6886397528638,6555024.12406995
100,15.6670640848601,2375318.33252285
101,12.9067909305091,4844268.70399775
102,18.4027427313043,6177364.66586075
103,10.9014194980707,13183211.0009963
104,14.8920560854064,11866402.8252257
105,14.6083342971723,1123.72577600269
106,17.8643647042119,1070.71103927979
107,22.7917418435308,5617095.07844433
108,10.0030783794138,10757069.8085973
109,22.2177024422701,813.250227755884
110,7.03864198522331,1984553.85448607
111,18.0348939184146,1524655.28214147
112,23.050687530416,5144358.14156925
113,14.0104050539866,888328.387031784
114,13.193860294312,13142557.9589957
115,10.7627557662214,10722195.6551674
116,13.3574666196858,10673969.4286485
117,12.3330730783207,11469959.7428718
118,13.1962845959595,7715222.05914801
119,24.4254516487474,1762863.27497594
120,17.0663235863181,2680153.75465595
121,9.04605675724817,1054911.8996518
122,13.6256695078211,8967181.31208423
123,14.0334586123288,7236007.90209734
124,15.5403105743078,8306809.85947732
125,16.4629459000093,7352567.56294434
126,18.8672738038267,8262594.19043596
127,19.8222558528513,4912565.45680481
128,16.5874386703556,7841854.34643248
129,16.9083404803367,10333199.5615637
130,11.717623717312,5717609.78167122
131,10.1742398278385,3185955.58955345
132,17.6797997710543,10983836.9456692
133,11.8483807550011,5944229.44128357
134,12.7295285825508,3377820.88297443
135,19.6317451002786,3136800.52153453
136,18.213349120228,2999378.49842223
137,13.1299530465813,9627012.58949356
138,6.72440893055225,13132.5586912465
139,13.8854478208786,9462352.7384238
140,12.6274657892971,9670989.07490018
141,17.1662442921567,8368385.82494555
142,13.015522636084,7467423.99783682
143,15.0559709483411,4523158.37124991
144,16.5857937716681,10892563.7884662
145,15.9133214698987,4476973.99780823
146,16.4517329744051,6406222.44155434
147,24.9000285793511,1019638.07994318
148,16.9884751957274,4888485.33333842
149,19.8950220969116,2181998.50568781
150,11.1129445669352,2195.26297799829
151,14.2999177891984,12587770.8210703
152,15.9970343549358,11888434.3046646
153,12.3952225591583,9330730.67426885
154,18.6682343177019,6109547.16431349
155,11.2828766125338,11543698.6549938
