time,ax,ay,az,gx,gy,gz,sw420
23:58:03:034,²ax,ay,az,gx,gy,gz,sw420
23:58:30:454,-264,-296,14992,-165,55,-134,0
23:58:30:707,-148,-336,14900,-135,78,-118,0
23:58:30:959,-204,-224,14944,-127,68,-105,0
23:58:31:212,-248,-328,15124,-168,40,-143,0
23:58:31:464,-156,-444,15028,-161,51,-121,0
23:58:31:716,-244,-216,14932,-146,49,-142,0
23:58:31:969,-104,-360,15136,-156,50,-116,0
23:58:32:221,-192,-476,14816,-179,81,-114,0
23:58:32:474,-188,-360,15068,-144,103,-116,0
23:58:32:725,-80,-392,14888,-153,57,-118,0
23:58:32:978,-268,-288,15008,-177,57,-115,0
23:58:33:229,-96,-412,15084,-174,59,-113,0
23:58:33:483,-104,-312,14892,-155,60,-124,0
23:58:33:735,-212,-288,14868,-153,58,-132,0
23:58:33:988,-268,-348,14804,-165,81,-123,0
23:58:34:240,-252,-368,14936,-164,41,-137,0
23:58:34:492,-196,-356,14960,-151,66,-136,0
23:58:34:745,-152,-332,15080,-181,55,-135,0
23:58:34:997,-204,-392,15188,-151,65,-105,0
23:58:35:248,-72,-384,14956,-152,67,-106,0
23:58:35:502,-160,-288,14996,-154,68,-134,0
23:58:35:754,-228,-356,15012,-157,41,-126,0
23:58:36:006,-196,-356,15088,-161,67,-137,0
23:58:36:258,-240,-412,14896,-156,66,-98,0
23:58:36:511,-176,-508,14988,-160,57,-143,0
23:58:36:764,-172,-384,14908,-146,76,-114,0
23:58:37:015,-184,-292,15004,-158,54,-120,0
23:58:37:268,-200,-312,15000,-150,79,-132,0
23:58:37:520,-180,-432,14996,-151,59,-119,0
23:58:37:772,-192,-204,15136,-159,62,-134,0
23:58:38:025,-100,-364,14972,-155,59,-140,0
23:58:38:276,-96,-360,14868,-171,91,-137,0
23:58:38:529,-196,-352,15068,-166,78,-135,0
23:58:38:782,-152,-340,15028,-155,51,-128,0
23:58:39:035,-208,-264,14972,-171,63,-122,0
23:58:39:286,-196,-392,15052,-149,65,-128,0
23:58:39:539,-224,-396,14912,-159,68,-127,0
23:58:39:792,-204,-296,14892,-149,103,-134,0
23:58:40:043,-156,-396,14888,-153,78,-138,0
23:58:40:296,-144,-308,15020,-161,48,-119,0
23:58:40:548,-204,-428,14928,-154,57,-142,0
23:58:40:800,-112,-344,14840,-145,75,-122,0
23:58:41:053,-180,-332,15008,-129,53,-123,0
23:58:41:305,-284,-372,15052,-153,69,-117,0
23:58:41:557,-160,-420,15056,-151,46,-116,0
23:58:41:810,-180,-292,14972,-151,59,-113,0
23:58:42:062,-112,-364,15060,-157,67,-127,0
23:58:42:314,-180,-392,14932,-144,92,-119,0
23:58:42:567,-212,-344,14908,-155,44,-131,0
23:58:42:819,-240,-344,15064,-146,53,-110,0
23:58:43:071,-140,-464,15004,-145,62,-125,0
23:58:43:324,-212,-408,15000,-162,50,-102,0
23:58:43:576,-196,-340,14900,-170,64,-104,0
23:58:43:827,-140,-368,14804,-162,90,-96,0
23:58:44:081,-116,-368,15016,-150,71,-121,0
23:58:44:333,-308,-332,15000,-160,90,-156,0
23:58:44:585,-116,-324,15008,-148,73,-105,0
23:58:44:838,-248,-384,15004,-153,57,-139,0
23:58:45:121,-188,-460,14944,-142,76,-139,0
23:58:45:342,-144,-404,14972,-174,64,-118,0
23:58:45:594,-220,-392,15076,-165,54,-134,0
23:58:45:848,-136,-264,15100,-160,85,-137,0
23:58:46:099,-204,-384,15048,-177,63,-144,0
23:58:46:351,-188,-420,14872,-154,63,-117,0
23:58:46:604,-240,-364,15116,-140,26,-131,0
23:58:46:856,-116,-332,15012,-156,69,-129,0
23:58:47:107,-292,-304,15012,-160,71,-134,0
23:58:47:360,-176,-332,15032,-161,76,-128,0
23:58:47:612,-196,-352,14908,-144,79,-109,0
23:58:47:864,-160,-396,15024,-156,48,-117,0
23:58:48:117,-136,-392,14900,-168,51,-114,0
23:58:48:369,-224,-392,15000,-166,49,-126,0
23:58:48:621,-248,-320,14988,-147,74,-118,0
23:58:48:874,-160,-300,14948,-181,65,-121,0
23:58:49:126,-152,-280,14840,-161,56,-147,0
23:58:49:378,-136,-392,14956,-167,22,-118,0
23:58:49:631,-116,-360,15012,-149,65,-121,0
23:58:49:884,-140,-376,15008,-151,54,-118,0
23:58:50:135,-116,-332,15004,-167,61,-103,0
23:58:50:387,-124,-392,15012,-161,96,-107,0
23:58:50:641,-252,-492,14968,-156,79,-108,0
23:58:50:893,-232,-368,14956,-149,104,-140,0
23:58:51:145,-184,-344,14904,-171,65,-140,0
23:58:51:397,-248,-388,14972,-141,68,-145,0
23:58:51:650,-260,-312,14764,-159,57,-139,0
23:58:51:902,-240,-320,15020,-159,50,-102,0
23:58:52:154,-172,-336,14964,-170,78,-113,0
23:58:52:406,-172,-352,14924,-168,77,-106,0
23:58:52:659,-176,-360,14960,-143,55,-123,0
23:58:52:910,-236,-380,14992,-162,73,-96,0
23:58:53:163,-180,-344,14988,-143,75,-134,0
23:58:53:415,-184,-440,14856,-148,49,-104,0
23:58:53:668,-260,-400,14924,-181,63,-108,0
23:58:53:920,-188,-304,14936,-152,69,-131,0
23:58:54:173,-132,-352,14944,-155,67,-106,0
23:58:54:425,-180,-424,15016,-163,72,-148,0
23:58:54:677,-240,-312,14980,-130,66,-123,0
23:58:54:929,-188,-416,14940,-150,80,-113,0
23:58:55:182,-128,-272,14952,-167,73,-102,0
23:58:55:434,-148,-352,14916,-166,73,-118,0
23:58:55:686,-208,-356,15020,-154,83,-116,0
23:58:55:939,-272,-372,14944,-162,55,-109,0
23:58:56:190,-224,-428,15084,-147,63,-94,0
23:58:56:444,-256,-360,14988,-156,55,-143,0
23:58:56:696,-208,-380,14900,-145,65,-114,0
23:58:56:948,-184,-288,14928,-166,72,-115,0
23:58:57:200,-228,-364,14936,-157,58,-131,0
23:58:57:453,-152,-400,15000,-163,55,-119,0
23:58:57:705,-160,-364,14956,-170,94,-133,0
23:58:57:957,-296,-372,14944,-179,65,-121,0
23:58:58:210,-196,-324,14956,-153,55,-138,0
23:58:58:462,-144,-396,15056,-158,81,-117,0
23:58:58:715,-260,-324,15048,-156,72,-109,0
23:58:58:967,-140,-392,15012,-189,56,-114,0
23:58:59:219,-124,-448,15060,-153,42,-103,0
23:58:59:471,-172,-308,14996,-184,87,-137,0
23:58:59:724,-172,-376,14904,-155,78,-130,0
23:58:59:976,-164,-352,14924,-154,74,-116,0
23:59:00:229,-188,-268,14856,-150,81,-116,0
23:59:00:482,-140,-224,15080,-173,64,-115,0
23:59:00:733,-204,-292,14972,-144,64,-122,0
23:59:00:986,-160,-340,14988,-155,55,-123,0
23:59:01:237,-80,-380,15020,-163,60,-131,0
23:59:01:490,-224,-300,14936,-144,90,-127,0
23:59:01:743,-176,-340,15084,-126,64,-108,0
23:59:01:995,-140,-276,15060,-155,62,-125,0
23:59:02:247,-160,-392,14984,-173,59,-141,0
23:59:02:500,-148,-396,15096,-169,45,-117,0
23:59:02:752,-224,-288,14908,-143,64,-125,0
23:59:03:005,-216,-340,14912,-151,56,-127,0
23:59:03:256,-88,-380,14992,-167,61,-107,0
23:59:03:509,-208,-340,14832,-160,68,-108,0
23:59:03:761,-196,-392,14932,-158,49,-102,0
23:59:04:014,-244,-428,15016,-172,91,-113,0
23:59:04:266,-192,-356,14980,-164,62,-131,0
23:59:04:519,-132,-432,15072,-163,54,-113,0
23:59:04:771,-280,-284,14984,-167,50,-139,0
23:59:05:023,-244,-380,14848,-178,68,-111,0
23:59:05:275,-112,-292,14936,-148,52,-123,0
23:59:05:528,-100,-284,15000,-134,68,-121,0
23:59:05:780,-136,-312,14948,-155,64,-105,0
23:59:06:032,-100,-220,15052,-145,77,-130,0
23:59:06:285,-124,-308,14992,-161,52,-144,0
23:59:06:537,-224,-308,14908,-175,59,-107,0
23:59:06:789,-236,-364,14924,-179,89,-121,0
23:59:07:042,-168,-216,15072,-141,53,-104,0
23:59:07:294,-116,-336,14824,-162,61,-121,0
23:59:07:546,-232,-428,14908,-161,69,-128,0
23:59:07:798,-176,-328,15000,-156,69,-124,0
23:59:08:051,-176,-392,14996,-159,89,-136,0
23:59:08:302,-244,-368,14996,-162,70,-89,0
23:59:08:555,-204,-356,14944,-167,64,-127,0
23:59:08:808,-144,-480,15144,-171,58,-114,0
