sample_id,RMS,Std,Kurtosis,Skewness,Crest_Factor,Shape_Factor,Energy,AR1,AR2,AR_Residual_Std,Corr_XZ,Corr_YZ,Band1_Energy,Band2_Energy,Band3_Energy,Band4_Energy,Spectral_Centroid,Spectral_Entropy
40,99.90534379546472,76.08935536591173,0.31966676902735625,-0.3427517636017781,2.490774672766276,1.1932406805269913,798486.2175112,0.2220820377920518,0.3720600999780297,83.67393754139863,0.06569689757282594,0.08722892897097953,0.6797055393813628,0.07016440401110823,0.12492895548402388,0.12520110112350533,0.8667866384862398,2.072206077524305
80,96.43312692685019,78.51291295067327,-0.3267616855330604,0.13236442189374023,2.5804586860332965,1.2146470362414994,743947.8375112,0.0990374125563406,0.36600045421084565,83.9055039353254,-0.022492441725749716,0.03511638474668981,0.5788263012033648,0.07668745127357865,0.1424450695097233,0.20204117801333318,0.9385979928573115,2.3182154489221434
120,92.4161212607952,75.3616447538136,0.2555080361839246,0.18995412607912848,3.0388821362364933,1.228726431971739,683259.1575112,0.15451878786691806,0.3468641910694043,77.69161561261552,0.029647838409173923,0.03779480909580545,0.6295652073266412,0.0860839487859104,0.14089459940472354,0.1434562444827249,0.8847567921695905,2.304112625671867
160,157.25502392257616,149.19744468321164,7.1139848630020115,-0.04793161738205835,3.9372878815270558,1.5404068770031714,1978331.4039112,0.10322063738054457,-0.127819154892873,147.55292940981832,-0.37866654747069306,-0.4999795263592263,0.3116324204730904,0.24423494611748217,0.33147541837728056,0.11265721503214682,0.9221368390808192,3.2606883832531883
200,272.41609318997655,270.87967347145116,0.8584912678333052,-0.2889157820113047,2.272840391877973,1.4409340508917865,5936842.226311199,0.010805486680172319,-0.1308172911392983,271.3399487759702,-0.503196693976434,-0.7027096342109193,0.20660562796149612,0.34945811311352404,0.24986306277942563,0.19407319614555413,0.9675137619422634,3.312313284717672
240,385.7436958381692,384.40227626797423,-0.8423219339291261,-0.25393514205862255,1.6051028355874795,1.2588467520123017,11903855.9103112,0.0065745472805400895,-0.13696180472489997,383.8483104295864,-0.5448658392574475,-0.6806579182448644,0.1952882699634677,0.24587626606628457,0.35356970746417093,0.2052657565060768,0.9847887936833651,3.311892042704212
280,384.6837416357624,384.38562668237216,-0.7529913293226804,-0.3021647377870496,1.6095255218404547,1.2933525321614907,11838526.4863112,-0.042024297907798505,-0.12417502250451012,380.4275953813014,-0.5990759271103105,-0.5795062717638542,0.15708592884552927,0.24358701141430403,0.3951024230585765,0.2042246366815903,1.0187817872070717,3.192195938311791
320,273.5754643583558,273.5189938560026,0.8789871891310153,-0.7581056180647636,2.2632084403180976,1.4663552474026902,5987482.775911201,-0.09831785662278397,-0.08540254322585751,269.0591215060857,-0.5437747673313147,-0.49773946910527495,0.17046552537731413,0.26123976595260845,0.269373385648707,0.29892132302137037,1.0304366876990465,3.401005317065686
360,349.37546001241986,345.04434497612044,-0.295433051388156,-0.3540913990247601,1.7721860029259426,1.3175609879078631,9765056.964711199,-0.06007539642152399,0.12093772689806795,346.4793135538264,-0.6607991718305689,-0.7046299869958583,0.3186622913052907,0.1100124325008257,0.2870640078063695,0.28426126838751403,0.9812323576852813,3.339202412960386
400,431.5084395453813,419.775166011521,-0.9560739817121875,-0.41437110238224467,1.4348695025575284,1.2139693134963654,14895962.671911199,0.016697560322069097,0.21654000462704212,419.5002406712009,-0.6354202282197579,-0.7409956381404927,0.3885552668571401,0.10778489893319577,0.24463340277554216,0.25902643143412196,0.9572899006105248,3.285133616104242
